account_wide,achievement_id,achievement_name,category_id,category_name,criteria_id,criteria_name,description,next_id,next_name
0,126,Journeyman Fisherman,171,Fishing,1738,,"Obtain 150 skill points in the ""Classic"" category of fishing.",127,Expert Fisherman
0,127,Expert Fisherman,171,Fishing,3071,,"Obtain 225 skill points in the ""Classic"" category of fishing.",128,Artisan Fisherman
0,128,Artisan Fisherman,171,Fishing,2467,,"Obtain 300 skill points in the ""Classic"" category of fishing.",,
0,129,Outland Fisherman,171,Fishing,3667,,"Obtain 75 skill points in the ""Outland"" category of fishing.",,
0,130,Northrend Fisherman,171,Fishing,2380,,"Obtain 75 skill points in the ""Northrend"" category of fishing.",,
0,131,Journeyman Medic,172,Professions,2435,,Obtain 150 skill points in first aid.,132,Expert Medic
0,132,Expert Medic,172,Professions,149,,Obtain 225 skill points in first aid.,133,Artisan Medic
0,133,Artisan Medic,172,Professions,1620,,Obtain 300 skill points in first aid.,134,Master Medic
0,134,Master Medic,172,Professions,3355,,Obtain 375 skill points in first aid.,135,Grand Master Medic
0,135,Grand Master Medic,172,Professions,2792,,Obtain 450 skill points in first aid.,4918,Illustrious Grand Master Medic
0,137,Stocking Up,172,Professions,2804,,Create 500 Heavy Frostweave Bandages.,,
0,141,Ultimate Triage,172,Professions,6753,,"Use a Heavy Frostweave Bandage, or any Embersilk or Windwool Bandage, to heal a player who has less than 5% health.",,
0,144,The Lurker Above,171,Fishing,2813,,Fish up The Lurker Below in Serpentshrine Cavern.,,
0,150,The Fishing Diplomat,171,Fishing,1281,,Fish something up in Orgrimmar and Stormwind.,,
0,153,The Old Gnome and the Sea,171,Fishing,609,,Successfully fish from a school.,,
0,154,Arathi Basin Victory,14802,Arathi Basin,2065,,Win Arathi Basin.,155,Arathi Basin Veteran
0,155,Arathi Basin Veteran,14802,Arathi Basin,4715,,Complete 100 victories in Arathi Basin.,,
0,156,Territorial Dominance,14802,Arathi Basin,117,,Win 10 Arathi Basin matches while controlling all 5 flags.,,
0,157,To The Rescue!,14802,Arathi Basin,5243,,Come to the defense of a base in Arathi Basin 50 times by recapping the flag.,,
0,158,Me and the Cappin' Makin' it Happen,14802,Arathi Basin,1076,,Take 50 flags in Arathi Basin.,,
0,159,Let's Get This Done,14802,Arathi Basin,1079,,Win Arathi Basin in 6 minutes.,,
0,161,Resilient Victory,14802,Arathi Basin,4405,,Overcome a 500 resource disadvantage in a match of Arathi Basin and claim victory.,,
0,162,We Had It All Along *cough*,14802,Arathi Basin,129,,Win Arathi Basin by 50 points or less.,,
0,165,Arathi Basin Perfection,14802,Arathi Basin,881,,Win Arathi Basin with a score of 1600 to 0.,,
0,166,Warsong Gulch Victory,14804,Warsong Gulch,419,,Win Warsong Gulch.,167,Warsong Gulch Veteran
0,167,Warsong Gulch Veteran,14804,Warsong Gulch,422,,Complete 100 victories in Warsong Gulch.,,
0,168,Warsong Gulch Perfection,14804,Warsong Gulch,9102,,Win Warsong Gulch with a score of 3 to 0.,,
0,199,Capture the Flag,14804,Warsong Gulch,3500,,Personally carry and capture the flag in Warsong Gulch.,,
0,200,Persistent Defender,14804,Warsong Gulch,2383,,Return 50 flags as a defender in Warsong Gulch.,,
0,201,Warsong Expedience,14804,Warsong Gulch,8437,,Win Warsong Gulch in under 7 minutes.,,
0,202,Quick Cap,14804,Warsong Gulch,2342,,Grab the flag and capture it in under 75 seconds.,,
0,203,Not In My House,14804,Warsong Gulch,2077,,"In a single Warsong Gulch battle, kill 2 flag carriers before they leave the Silverwing Flag Room.",,
0,204,Ironman,14804,Warsong Gulch,3655,,"In a single Warsong Gulch battle, carry and capture the flag 3 times without dying.",,
0,206,Supreme Defender,14804,Warsong Gulch,3409,,Kill 100 flag carriers in Warsong Gulch.,,
0,207,Save the Day,14804,Warsong Gulch,13704,,"Kill the enemy who is carrying your flag in the opposing team's flag room while the opposing team's flag is at their base, within their control.",,
0,208,Eye of the Storm Victory,14803,Eye of the Storm,1763,,Win Eye of the Storm.,209,Eye of the Storm Veteran
0,209,Eye of the Storm Veteran,14803,Eye of the Storm,1766,,Complete 100 victories in Eye of the Storm.,,
0,211,Storm Glory,14803,Eye of the Storm,183,,"While your team holds 4 of the bases in Eye of the Storm, personally grab the flag and capture it.",,
0,212,Storm Capper,14803,Eye of the Storm,5265,,Personally carry and capture the flag in Eye of the Storm.,,
0,213,Stormtrooper,14803,Eye of the Storm,5778,,Kill 5 flag carriers in a single Eye of the Storm battle.,,
0,214,Flurry,14803,Eye of the Storm,3145,,Win Eye of the Storm in under 6 minutes.,,
0,216,Bound for Glory,14803,Eye of the Storm,5268,,"In a single Eye of the Storm match, capture the flag 3 times without dying.",,
0,218,Alterac Valley Victory,14801,Alterac Valley,6278,,Win Alterac Valley.,219,Alterac Valley Veteran
0,219,Alterac Valley Veteran,14801,Alterac Valley,3874,,Complete 100 victories in Alterac Valley.,,
0,220,Stormpike Perfection,14801,Alterac Valley,3823,,Win Alterac Valley without losing a tower or captain. You must also control all of the Horde's towers.,,
0,221,Alterac Grave Robber,14801,Alterac Valley,186,,Take 50 graveyards in Alterac Valley.,,
0,222,Tower Defense,14801,Alterac Valley,3358,,Defend 50 towers in Alterac Valley.,,
0,223,The Sickly Gazelle,14801,Alterac Valley,3412,,"In Alterac Valley, kill an enemy in the Field of Strife before they dismount.",,
0,224,Loyal Defender,14801,Alterac Valley,4479,,"In Alterac Valley, kill 50 enemy players in the Hall of the Frostwolf.",,
0,225,Everything Counts,14801,Alterac Valley,3835,,Win Alterac Valley while your team controls both mines.,,
0,226,The Alterac Blitz,14801,Alterac Valley,7771,,Win Alterac Valley in 6 minutes.,,
0,227,Damage Control,95,Player vs. Player,990,,"Do 300,000 damage or healing in a single battle in any battleground. The damage or healing must be done to a player.",,
0,229,The Grim Reaper,95,Player vs. Player,914,,Get 30 Honorable Kills in a single battle in any battleground.,,
0,231,Wrecking Ball,95,Player vs. Player,3855,,Get 20 killing blows without dying in a single battle in any battleground.,,
0,233,Bloodthirsty Berserker,14803,Eye of the Storm,5215,,Get a killing blow while under the effects of the berserker buff in Eye of the Storm.,,
0,238,An Honorable Kill,95,Player vs. Player,5218,,Achieve an honorable kill.,513,100 Honorable Kills
0,245,That Takes Class,95,Player vs. Player,6934,,"Get an honorable, killing blow on one of each class.",,
0,246,Know Thy Enemy,95,Player vs. Player,6264,,"Get an honorable, killing blow against all Horde races.",,
0,247,"Make Love, Not Warcraft",95,Player vs. Player,8295,,Emote /hug on a dead enemy before they release corpse.,,
0,248,Sunday's Finest,159,Noblegarden,8291,,Discover the White Tuxedo Shirt and Black Tuxedo Pants by opening Brightly Colored Eggs during the Noblegarden celebration.,,
0,249,Dressed for the Occasion,159,Noblegarden,4669,,Discover an Elegant Dress by opening Brightly Colored Eggs during the Noblegarden celebration.,,
0,252,With a Little Helper from My Friends,156,Winter Veil,4724,,Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.,,
0,255,Bring Me The Head of... Oh Wait,158,Hallow's End,1673,,Kill the Headless Horseman.,,
0,259,Scrooge,156,Winter Veil,20082,,Throw a snowball at Baine Bloodhoof during the Feast of Winter Veil.,,
0,260,Charming,187,Love is in the Air,2103,,Create 12 Lovely Charm Bracelets.,,
0,263,Ice the Frost Lord,161,Midsummer,5612,,Slay Ahune in the Slave Pens.,,
0,271,Burning Hot Pole Dance,161,Midsummer,7608,,Dance at the ribbon pole for 60 seconds while wearing completed Midsummer set.,,
0,272,Torch Juggler,161,Midsummer,2097,,Juggle 40 torches in 15 seconds in Dalaran.,,
0,273,On Metzen!,156,Winter Veil,5556,,Save Metzen the Reindeer.,,
0,275,Veteran Nanny,163,Children's Week,3662,,"Acquire Egbert's Egg, Sleepy Willy, and Elekk Training Collar on one character.",,
0,277,Tis the Season,156,Winter Veil,4076,,"During the Feast of Winter Veil, wear 3 pieces of winter clothing and eat Graccu's Mince Meat Fruitcake.",,
0,279,Simply Abominable,156,Winter Veil,14224,,Complete the quest to retrieve Smokywood Pastures' stolen treats and receive a Smokywood Pastures' Thank You.,,
0,283,The Masquerade,158,Hallow's End,4423,,Get transformed by the Hallowed Wands listed below.,,
0,284,A Mask for All Occasions,158,Hallow's End,3964,,Collect the 24 unique Masks listed below.,,
0,288,Out With It,158,Hallow's End,9018,,Eat so many Tricky Treats that you get an upset tummy.,,
0,289,The Savior of Hallow's End,158,Hallow's End,3849,,Complete one of the quests to save a village from the Headless Horseman.,,
0,291,Check Your Head,158,Hallow's End,8,,Use Weighted Jack-o'-Lanterns to put pumpkin heads on each of the races listed below.,,
0,292,Sinister Calling,158,Hallow's End,5513,,Obtain a Sinister Squashling pet and Hallowed Helm through looting or Tricky Treats from the Hallow's end world events.,,
0,293,Disturbing the Peace,162,Brewfest,448,,"While wearing 3 pieces of Brewfest clothing, get completely smashed and dance in Dalaran.",,
0,295,Direbrewfest,162,Brewfest,3232,,Kill Coren Direbrew.,,
0,306,Master Angler of Azeroth,171,Fishing,4432,,Win the Booty Bay fishing contest.,,
0,388,City Defender,95,Player vs. Player,4372,,Kill 50 enemy players in any of your home cities.,,
0,389,Gurubashi Arena Master,95,Player vs. Player,8047,,Loot the Arena Master trinket from the Gurubashi Arena.,,
0,396,Gurubashi Arena Grand Master,95,Player vs. Player,7014,,Complete Short John Mithril's quest to obtain the Arena Grand Master trinket.,,
0,397,Step Into The Arena,165,Arena,2671,,Win a ranked arena match.,398,Mercilessly Dedicated
0,398,Mercilessly Dedicated,165,Arena,2674,,Win 100 ranked arena matches.,875,Vengefully Dedicated
0,399,Just the Two of Us: 1550,165,Arena,3229,,Earn a 1550 personal rating in the 2v2 bracket of the arena.,400,Just the Two of Us: 1750
0,400,Just the Two of Us: 1750,165,Arena,3251,,Earn a 1750 personal rating in the 2v2 bracket of the arena.,401,Just the Two of Us: 2000
0,401,Just the Two of Us: 2000,165,Arena,3744,,Earn a 2000 personal rating in the 2v2 bracket of the arena.,1159,Just the Two of Us: 2200
0,402,Three's Company: 1550,165,Arena,2080,,Earn a 1550 personal rating in the 3v3 bracket of the arena.,403,Three's Company: 1750
0,403,Three's Company: 1750,165,Arena,5747,,Earn a 1750 personal rating in the 3v3 bracket of the arena.,405,Three's Company: 2000
0,404,High Five: 2000,15270,Player vs. Player,3349,,Earn a 2000 personal rating in the 5v5 bracket of the arena.,1161,High Five: 2200
0,405,Three's Company: 2000,165,Arena,7093,,Earn a 2000 personal rating in the 3v3 bracket of the arena.,1160,Three's Company: 2200
0,406,High Five: 1550,15270,Player vs. Player,5297,,Earn a 1550 personal rating in the 5v5 bracket of the arena.,407,High Five: 1750
0,407,High Five: 1750,15270,Player vs. Player,2464,,Earn a 1750 personal rating in the 5v5 bracket of the arena.,404,High Five: 2000
0,408,Hot Streak,165,Arena,10115,,Win ten ranked matches in a row.,,
0,409,Last Man Standing,15270,Player vs. Player,2071,,Be the sole survivor at the end of a ranked 5v5 match.,,
0,412,Murloc Costume,15268,Promotions,4046,,"Proud owner of the Murloc Costume from the 2007 BlizzCon in Anaheim, California.",,
0,416,Scarab Lord,15269,Mounts,1735,,Opened the gates of Ahn'Qiraj.,,
0,418,Merciless Gladiator,15270,Player vs. Player,2936,,Achieved Merciless Gladiator title.,,
0,419,Vengeful Gladiator,15270,Player vs. Player,189,,Achieved Vengeful Gladiator title.,,
0,420,Brutal Gladiator,15270,Player vs. Player,4217,,Achieved Brutal Gladiator title.,,
0,425,"Atiesh, Greatstaff of the Guardian",15271,Raids,3394,,"Wielder of Atiesh, Greatstaff of the Guardian.",,
0,426,Warglaives of Azzinoth,15271,Raids,1875,,Wielder of a set of Warglaives of Azzinoth.,,
0,428,"Thunderfury, Blessed Blade of the Windseeker",15271,Raids,3756,,"Wielder of Thunderfury, Blessed Blade of the Windseeker.",,
0,429,"Sulfuras, Hand of Ragnaros",15271,Raids,522,,"Wielder of Sulfuras, Hand of Ragnaros.",,
0,431,Hand of A'dal,15278,Raids,2243,,"Earned the title, ""Hand of A'dal"".",,
0,432,Champion of the Naaru,15278,Raids,6551,,"Earned the title, ""Champion of the Naaru"".",,
0,433,Grand Marshal,15279,Player vs. Player,80,,"Earned the title, ""Grand Marshal"" at level 60.",,
0,434,Field Marshal,15279,Player vs. Player,5517,,"Earned the title, ""Field Marshal"" at level 60.",,
0,435,Commander,15279,Player vs. Player,3142,,"Earned the title, ""Commander"" at level 60.",,
0,436,Lieutenant Commander,15279,Player vs. Player,83,,"Earned the title, ""Lieutenant Commander"" at level 60.",,
0,437,Knight-Champion,15279,Player vs. Player,6353,,"Earned the title, ""Knight-Champion"" at level 60.",,
0,438,Knight-Captain,15279,Player vs. Player,2477,,"Earned the title, ""Knight-Captain"" at level 60.",,
0,439,Knight,15279,Player vs. Player,86,,"Earned the title, ""Knight"" at level 60.",,
0,440,Sergeant Major,15279,Player vs. Player,2226,,"Earned the title, ""Sergeant Major"" at level 60.",,
0,441,Master Sergeant,15279,Player vs. Player,3699,,"Earned the title, ""Master Sergeant"" at level 60.",,
0,442,Private,15279,Player vs. Player,6659,,"Earned the title, ""Private"" at level 60.",,
0,443,High Warlord,15279,Player vs. Player,2229,,"Earned the title, ""High Warlord"" at level 60.",,
0,444,Lieutenant General,15279,Player vs. Player,5649,,"Earned the title, ""Lieutenant General"" at level 60.",,
0,445,Warlord,15279,Player vs. Player,279,,"Earned the title, ""Warlord"" at level 60.",,
0,446,General,15279,Player vs. Player,282,,"Earned the title, ""General"" at level 60.",,
0,447,Champion,15279,Player vs. Player,6350,,"Earned the title, ""Champion"" at level 60.",,
0,448,Centurion,15279,Player vs. Player,2232,,"Earned the title, ""Centurion"" at level 60.",,
0,449,Blood Guard,15279,Player vs. Player,7413,,"Earned the title, ""Blood Guard"" at level 60.",,
0,450,Senior Sergeant,15279,Player vs. Player,4630,,"Earned the title, ""Senior Sergeant"" at level 60.",,
0,451,Stone Guard,15279,Player vs. Player,3108,,"Earned the title, ""Stone Guard"" at level 60.",,
0,452,First Sergeant,15279,Player vs. Player,1449,,"Earned the title, ""First Sergeant"" at level 60.",,
0,453,Sergeant,15279,Player vs. Player,6966,,"Earned the title, ""Sergeant"" at level 60.",,
0,454,Scout,15279,Player vs. Player,3659,,"Earned the title, ""Scout"" at level 60.",,
0,456,Realm First! Obsidian Slayer,81,Feats of Strength,10281,,Participated in the realm first defeat of Sartharion the Onyx Guardian in 25-player mode.,,
0,457,Realm First! Level 80,81,Feats of Strength,1872,,First person on the realm to achieve level 80.,,
0,458,Realm First! Level 80 Rogue,81,Feats of Strength,2694,,First rogue on the realm to achieve level 80.,,
0,459,Realm First! Level 80 Warrior,81,Feats of Strength,3352,,First warrior on the realm to achieve level 80.,,
0,460,Realm First! Level 80 Mage,81,Feats of Strength,5109,,First mage on the realm to achieve level 80.,,
0,461,Realm First! Level 80 Death Knight,81,Feats of Strength,2169,,First death knight on the realm to achieve level 80.,,
0,462,Realm First! Level 80 Hunter,81,Feats of Strength,3702,,First hunter on the realm to achieve level 80.,,
0,463,Realm First! Level 80 Warlock,81,Feats of Strength,2697,,First warlock on the realm to achieve level 80.,,
0,464,Realm First! Level 80 Priest,81,Feats of Strength,1219,,First priest on the realm to achieve level 80.,,
0,465,Realm First! Level 80 Paladin,81,Feats of Strength,1760,,First paladin on the realm to achieve level 80.,,
0,466,Realm First! Level 80 Druid,81,Feats of Strength,1754,,First druid on the realm to achieve level 80.,,
0,467,Realm First! Level 80 Shaman,81,Feats of Strength,1769,,First shaman on the realm to achieve level 80.,,
0,468,Grunt,15279,Player vs. Player,1772,,"Earned the title, ""Grunt"" at level 60.",,
0,469,Legionnaire,15279,Player vs. Player,439,,"Earned the title, ""Legionnaire"" at level 60.",,
0,470,Corporal,15279,Player vs. Player,1775,,"Earned the title, ""Corporal"" at level 60.",,
0,471,Sergeant,15279,Player vs. Player,1667,,"Earned the title, ""Sergeant"" at level 60.",,
0,472,Knight-Lieutenant,15279,Player vs. Player,3561,,"Earned the title, ""Knight-Lieutenant"" at level 60.",,
0,473,Marshal,15279,Player vs. Player,1008,,"Earned the title, ""Marshal"" at level 60.",,
0,477,Utgarde Keep,14806,Lich King Dungeon,4309,,Defeat the bosses in Utgarde Keep.,489,Heroic: Utgarde Keep
0,478,The Nexus,14806,Lich King Dungeon,1729,,Defeat the bosses in The Nexus.,490,Heroic: The Nexus
0,479,The Culling of Stratholme,14806,Lich King Dungeon,1704,,Defeat the bosses in Caverns of Time: Stratholme.,500,Heroic: The Culling of Stratholme
0,480,Azjol-Nerub,14806,Lich King Dungeon,2172,,Defeat the bosses in Azjol-Nerub.,491,Heroic: Azjol-Nerub
0,481,Ahn'kahet: The Old Kingdom,14806,Lich King Dungeon,6281,,Defeat the bosses in Ahn'kahet: The Old Kingdom.,492,Heroic: Ahn'kahet: The Old Kingdom
0,482,Drak'Tharon Keep,14806,Lich King Dungeon,1748,,Defeat the bosses in Drak'Tharon Keep.,493,Heroic: Drak'Tharon Keep
0,483,The Violet Hold,14806,Lich King Dungeon,1710,,Defeat Cyanigosa in The Violet Hold.,494,Heroic: The Violet Hold
0,484,Gundrak,14806,Lich King Dungeon,1839,,Defeat the bosses in Gundrak.,495,Heroic: Gundrak
0,485,Halls of Stone,14806,Lich King Dungeon,901,,Defeat the boss encounters in Halls of Stone.,496,Heroic: Halls of Stone
0,486,Halls of Lightning,14806,Lich King Dungeon,1011,,Defeat the bosses in Halls of Lightning.,497,Heroic: Halls of Lightning
0,487,The Oculus,14806,Lich King Dungeon,2177,,Defeat the bosses in The Oculus.,498,Heroic: The Oculus
0,488,Utgarde Pinnacle,14806,Lich King Dungeon,3760,,Defeat the bosses in Utgarde Pinnacle.,499,Heroic: Utgarde Pinnacle
0,489,Heroic: Utgarde Keep,14806,Lich King Dungeon,2774,,Defeat the Utgarde Keep bosses on Heroic Difficulty.,,
0,490,Heroic: The Nexus,14806,Lich King Dungeon,7611,,Defeat The Nexus bosses on Heroic Difficulty.,,
0,491,Heroic: Azjol-Nerub,14806,Lich King Dungeon,896,,Defeat the Azjol-Nerub bosses on Heroic Difficulty.,,
0,492,Heroic: Ahn'kahet: The Old Kingdom,14806,Lich King Dungeon,8999,,Defeat the Ahn'kahet: The Old Kingdom bosses on Heroic Difficulty.,,
0,493,Heroic: Drak'Tharon Keep,14806,Lich King Dungeon,8381,,Defeat the Drak'Tharon Keep bosses on Heroic Difficulty.,,
0,494,Heroic: The Violet Hold,14806,Lich King Dungeon,120,,Defeat Cyanigosa in The Violet Hold on Heroic Difficulty.,,
0,495,Heroic: Gundrak,14806,Lich King Dungeon,14228,,Defeat the Gundrak bosses on Heroic Difficulty.,,
0,496,Heroic: Halls of Stone,14806,Lich King Dungeon,3136,,Defeat the boss encounters in the Halls of Stone on Heroic Difficulty.,,
0,497,Heroic: Halls of Lightning,14806,Lich King Dungeon,2780,,Defeat the Halls of Lightning bosses on Heroic Difficulty.,,
0,498,Heroic: The Oculus,14806,Lich King Dungeon,2786,,Defeat The Oculus bosses on Heroic Difficulty.,,
0,499,Heroic: Utgarde Pinnacle,14806,Lich King Dungeon,2183,,Defeat the Utgarde Pinnacle bosses on Heroic Difficulty.,,
0,500,Heroic: The Culling of Stratholme,14806,Lich King Dungeon,5741,,Defeat the Caverns of Time: Stratholme bosses on Heroic Difficulty.,,
0,503,50 Quests Completed,96,Quests,4808,,Complete 50 quests.,504,100 Quests Completed
0,504,100 Quests Completed,96,Quests,1845,,Complete 100 quests.,505,250 Quests Completed
0,505,250 Quests Completed,96,Quests,4633,,Complete 250 quests.,506,500 Quests Completed
0,506,500 Quests Completed,96,Quests,7344,,Complete 500 quests.,507,1000 Quests Completed
0,507,1000 Quests Completed,96,Quests,1017,,Complete 1000 quests.,508,1500 Quests Completed
0,508,1500 Quests Completed,96,Quests,1848,,Complete 1500 quests.,32,2000 Quests Completed
0,509,10000 Honorable Kills,95,Player vs. Player,549,,Get 10000 honorable kills.,239,25000 Honorable Kills
0,512,5000 Honorable Kills,95,Player vs. Player,5781,,Get 5000 honorable kills.,509,10000 Honorable Kills
0,513,100 Honorable Kills,95,Player vs. Player,2547,,Get 100 honorable kills.,515,500 Honorable Kills
0,515,500 Honorable Kills,95,Player vs. Player,1851,,Get 500 honorable kills.,516,1000 Honorable Kills
0,516,1000 Honorable Kills,95,Player vs. Player,3652,,Get 1000 honorable kills.,512,5000 Honorable Kills
0,545,Shave and a Haircut,92,Character,461,,Visit a Barber Shop and get your hair cut.,,
0,546,Safe Deposit,92,Character,4070,,Buy 7 additional bank slots.,,
0,547,Veteran of the Wrathgate,14863,Northrend,8043,,Complete the Dragonblight quests leading up to and including the Return to Angrathar.,,
0,556,Epic,15234,Legacy,,,Equip an epic item in every slot with a minimum item level of 213 (prior to Battle for Azeroth).,5372,Cataclysmically Epic
0,557,Superior,15234,Legacy,,,Equip a superior item in every slot with a minimum item level of 187 (prior to Battle for Azeroth).,5373,Cataclysmically Superior
0,558,Greedy,15234,Legacy,204,,Win a greed roll on a superior or better item above level 185 by rolling 100.,,
0,559,Needy,15234,Legacy,270,,Win a need roll on a superior or better item above level 185 by rolling 100.,,
0,560,Deadliest Catch,15278,Raids,8133,,Fish up Gahz'ranka in Zul'Gurub using the Mudskunk Lure.,,
0,561,D.E.H.T.A's Little P.I.T.A.,14863,Northrend,6469,,Uphold D.E.H.T.A's beliefs by completing all of the quests up to and including the Assassination of Harold Lane.,,
0,562,The Arachnid Quarter (10 player),14922,Lich King Raid,1082,,Defeat the bosses of The Arachnid Quarter of Naxxramas in 10-player mode.,,
0,563,The Arachnid Quarter (25 player),14922,Lich King Raid,1430,,Defeat the bosses of The Arachnid Quarter of Naxxramas in 25-player mode.,,
0,564,The Construct Quarter (10 player),14922,Lich King Raid,5750,,Defeat the bosses of The Construct Quarter of Naxxramas in 10-player mode.,,
0,565,The Construct Quarter (25 player),14922,Lich King Raid,3083,,Defeat the bosses of The Construct Quarter of Naxxramas in 25-player mode.,,
0,566,The Plague Quarter (10 player),14922,Lich King Raid,8192,,Defeat the bosses of The Plague Quarter of Naxxramas in 10-player mode.,,
0,567,The Plague Quarter (25 player),14922,Lich King Raid,3370,,Defeat the bosses of The Plague Quarter of Naxxramas in 25-player mode.,,
0,568,The Military Quarter (10 player),14922,Lich King Raid,3204,,Defeat the bosses of The Military Quarter of Naxxramas in 10 player mode.,,
0,569,The Military Quarter (25 player),14922,Lich King Raid,5806,,Defeat the bosses of The Military Quarter of Naxxramas in 25-player mode.,,
0,572,Sapphiron's Demise (10 player),14922,Lich King Raid,5858,,Defeat Sapphiron in Naxxramas in 10-player mode.,,
0,573,Sapphiron's Demise (25 player),14922,Lich King Raid,951,,Defeat Sapphiron in Naxxramas in 25-player mode.,,
0,574,Kel'Thuzad's Defeat (10 player),14922,Lich King Raid,3877,,Defeat Kel'Thuzad in Naxxramas in 10-player mode.,,
0,575,Kel'Thuzad's Defeat (25 player),14922,Lich King Raid,954,,Defeat Kel'Thuzad in Naxxramas in 25-player mode.,,
0,578,The Dedicated Few (10 player),14922,Lich King Raid,4487,,Defeat the bosses of Naxxramas with less than 9 people in the zone in 10-player mode.,,
0,579,The Dedicated Few (25 player),14922,Lich King Raid,4503,,Defeat the bosses of Naxxramas with less than 21 people in the zone in 25-player mode.,,
0,582,Alterac Valley All-Star,14801,Alterac Valley,5560,,"In a single Alterac Valley battle, assault a graveyard, defend a graveyard, assault a tower, defend a tower and slay someone in the Field of Strife.",,
0,583,Arathi Basin All-Star,14802,Arathi Basin,7604,,Assault and Defend 2 bases in a single Arathi Basin match.,,
0,584,Arathi Basin Assassin,14802,Arathi Basin,4847,,Get five honorable kills at each of the bases in a single Arathi Basin battle.,,
0,587,Stormy Assassin,14803,Eye of the Storm,4060,,"In a single Eye of the Storm battle, get 5 honorable kills at each of the bases.",,
0,603,Wrath of the Horde,95,Player vs. Player,5203,,Kill 5 Alliance players in each of the cities listed below.,,
0,604,Wrath of the Alliance,95,Player vs. Player,5209,,Kill 5 Horde players in each of the cities listed below.,,
0,605,A Coin of Ancestry,160,Lunar Festival,1307,,Receive a Coin of Ancestry.,606,5 Coins of Ancestry
0,606,5 Coins of Ancestry,160,Lunar Festival,192,,Receive 5 Coins of Ancestry.,607,10 Coins of Ancestry
0,607,10 Coins of Ancestry,160,Lunar Festival,5495,,Receive 10 Coins of Ancestry.,608,25 Coins of Ancestry
0,608,25 Coins of Ancestry,160,Lunar Festival,1818,,Receive 25 Coins of Ancestry.,609,50 Coins of Ancestry
0,609,50 Coins of Ancestry,160,Lunar Festival,948,,Receive 50 Coins of Ancestry.,,
0,610,Orgrimmar Offensive,15279,Player vs. Player,18950,,Damage High Overlord Saurfang until he humors you by pretending to die.,,
0,611,Bleeding Bloodhoof,95,Player vs. Player,5498,,Kill Baine Bloodhoof.,,
0,612,Downing the Dark Lady,15279,Player vs. Player,5501,,Kill Lady Sylvanas Windrunner in Orgrimmar.,,
0,613,Killed in Quel'Thalas,95,Player vs. Player,428,,Kill Lor'themar Theron.,,
0,615,Storming Stormwind,95,Player vs. Player,4369,,Kill King Anduin Wrynn.,,
0,616,Overthrow the Council,95,Player vs. Player,1095,,"Kill Representatives Moira Thaurissan, Muradin Bronzebeard and Falstad Wildhammer.",,
0,617,Immortal No More,15279,Player vs. Player,3209,,Kill High Priestess Tyrande Whisperwind.,,
0,618,Putting Out the Light,95,Player vs. Player,4909,,Kill Prophet Velen.,,
0,622,The Spellweaver's Downfall (10 player),14922,Lich King Raid,7617,,Defeat Malygos in 10-player mode.,,
